Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.58667 %
Validity: 78.00000 % | Diversity: 20.50000 % | Reconstruction: 91.38286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.79238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.10476 %
Validity: 79.20000 % | Diversity: 21.30000 % | Reconstruction: 91.50476 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.62857 %
Validity: 75.60000 % | Diversity: 20.50000 % | Reconstruction: 91.76000 %
Validity: 77.50000 % | Diversity: 20.60000 % | Reconstruction: 91.91810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.77524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.65524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.51048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.86095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.38286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.05524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.89524 %
Validity: 81.40000 % | Diversity: 22.40000 % | Reconstruction: 92.15238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.09524 %
Validity: 79.00000 % | Diversity: 23.20000 % | Reconstruction: 92.24762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 90.63810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.03810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.80762 %
Validity: 78.60000 % | Diversity: 23.10000 % | Reconstruction: 92.26857 %
Validity: 78.20000 % | Diversity: 20.10000 % | Reconstruction: 92.61143 %
Validity: 78.20000 % | Diversity: 19.50000 % | Reconstruction: 92.64000 %
Validity: 75.10000 % | Diversity: 22.20000 % | Reconstruction: 92.73143 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.56190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 91.71619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.69714 %
Validity: 75.90000 % | Diversity: 21.10000 % | Reconstruction: 93.20952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.85524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.59810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.63238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.91429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.03238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.00952 %
Validity: 78.50000 % | Diversity: 21.40000 % | Reconstruction: 93.31238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.78667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.02667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.19810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.03429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.27429 %
